 
 **********************************************************                                                        **************
 * gamma gamma --> mu+ mu-
 **********************************************************                                                        **************

 Cross section =     800.0886     +/-   0.3735749     pb

 ********************  Input parameters *******************                                                        **************
 *              13000.0000         :  CMS collision energy (GeV)
 *                       1         :  Model of soft survival
 *          MSHT20lo_as130         :  PDF set
 *                       0         :  PDF member
 *                      57         :  Process number
 *SCv4_GamGamMuMu-sd_13TeV         :  Output file
 *                       F         :  Include soft survival effects
 **********************************************************                                                        **************
 *                       T         : dissociation flag
 **********************************************************                                                        **************
 
 ****************** Integration parameters  ***************                                                        **************
 *                 1150000         :  Preconditioning calls
 *                       1         :  Preconditioning iterations
 *                  1.0000         :  Percentage accuracy
 *                   10000         :  Calls in first main iteration
 *                   10000         :  Increase calls per iteration
 *                    1000         :  Maximum number of iterations
 *                     177         :  Random number seed
 **********************************************************                                                        **************
 *                       8         :  Survival factor integration par.
 **********************************************************                                                        **************
 
 ********************* Unweighted Events  *****************                                                        **************
 *                       T         :  Generate unweighted events
 *            1273880.7496         :  Maximum weight
 *                   50000         :  Number of events
 *                     lhe         :  Record format
 **********************************************************                                                        **************
 
 ********************* General Cuts ***********************                                                        **************
 *                -10.0000         :  Minimum object rapidity
 *                 10.0000         :  Maximum object rapidity
 *                  2.0000         :  Minimum object mass
 *               5000.0000         :  Maximum object mass
 *                       T         :  Include further cuts
 *                       T         :  Include spin correlations
 **********************************************************                                                        **************
 
 ***************** 2-body decay cuts **********************                                                        **************
 *                  0.0000         :  pT(a) min
 *                  0.0000         :  pT(b) min
 *                 -2.5000         :  eta(a) min
 *                  2.5000         :  eta(a) max
 *                 -2.5000         :  eta(b) min
 *                  2.5000         :  eta(b) max
 **********************************************************                                                        **************
 
   188.81006666666667        160.83799999999999        216.78213333333332        1.0313217198563896E-002
   244.75420000000000        216.78213333333332        272.72626666666667        3.8384842782547362E-003
   300.69833333333332        272.72626666666667        328.67039999999997        1.7755465587537109E-003
   356.64246666666668        328.67039999999997        384.61453333333333        7.0477270591325373E-004
   412.58659999999998        384.61453333333333        440.55866666666668        4.6203211006149613E-004
   468.53073333333327        440.55866666666668        496.50279999999998        2.8024817798620626E-004
   524.47486666666668        496.50279999999998        552.44693333333339        1.5197328707395563E-004
   580.41899999999998        552.44693333333339        608.39106666666669        3.3468277355216031E-004
   636.36313333333328        608.39106666666669        664.33519999999999        5.6680817533097432E-005
   692.30726666666658        664.33519999999999        720.27933333333328        1.0137278322590119E-004
   748.25139999999999        720.27933333333328        776.22346666666658        6.7617072400889049E-005
   804.19553333333340        776.22346666666658        832.16759999999999        2.6424302971260093E-005
   860.13966666666670        832.16759999999999        888.11173333333340        2.4367426142762180E-005
   916.08380000000000        888.11173333333340        944.05586666666670        1.0649602700183754E-005
   972.02793333333329        944.05586666666670        1000.0000000000000        1.0008185992065785E-005

  -9.6666666666666661       -10.000000000000000       -9.3333333333333339        0.0000000000000000     
  -9.0000000000000000       -9.3333333333333339       -8.6666666666666661        0.0000000000000000     
  -8.3333333333333339       -8.6666666666666661       -8.0000000000000000        0.0000000000000000     
  -7.6666666666666661       -8.0000000000000000       -7.3333333333333339        0.0000000000000000     
  -7.0000000000000000       -7.3333333333333339       -6.6666666666666670        0.0000000000000000     
  -6.3333333333333339       -6.6666666666666670       -6.0000000000000000        0.0000000000000000     
  -5.6666666666666661       -6.0000000000000000       -5.3333333333333330        0.0000000000000000     
  -5.0000000000000000       -5.3333333333333330       -4.6666666666666670        0.0000000000000000     
  -4.3333333333333339       -4.6666666666666670       -4.0000000000000000        0.0000000000000000     
  -3.6666666666666670       -4.0000000000000000       -3.3333333333333339        0.0000000000000000     
  -3.0000000000000000       -3.3333333333333339       -2.6666666666666670        0.0000000000000000     
  -2.3333333333333330       -2.6666666666666670       -2.0000000000000000        425.05360568967757     
  -1.6666666666666661       -2.0000000000000000       -1.3333333333333321        2200.7626667981995     
  -1.0000000000000000       -1.3333333333333321      -0.66666666666666607        4125.9973256079093     
 -0.33333333333333393      -0.66666666666666607        0.0000000000000000        5243.2117359427593     
  0.33333333333333393        0.0000000000000000       0.66666666666666607        5246.8906307992620     
   1.0000000000000000       0.66666666666666607        1.3333333333333321        4108.9020412716809     
   1.6666666666666679        1.3333333333333321        2.0000000000000000        2203.8896683451658     
   2.3333333333333339        2.0000000000000000        2.6666666666666661        427.27012557735378     
   3.0000000000000000        2.6666666666666661        3.3333333333333321        0.0000000000000000     
   3.6666666666666679        3.3333333333333321        4.0000000000000000        0.0000000000000000     
   4.3333333333333339        4.0000000000000000        4.6666666666666661        0.0000000000000000     
   5.0000000000000000        4.6666666666666661        5.3333333333333339        0.0000000000000000     
   5.6666666666666661        5.3333333333333339        6.0000000000000000        0.0000000000000000     
   6.3333333333333321        6.0000000000000000        6.6666666666666679        0.0000000000000000     
   7.0000000000000000        6.6666666666666679        7.3333333333333357        0.0000000000000000     
   7.6666666666666643        7.3333333333333357        8.0000000000000000        0.0000000000000000     
   8.3333333333333321        8.0000000000000000        8.6666666666666679        0.0000000000000000     
   9.0000000000000000        8.6666666666666679        9.3333333333333321        0.0000000000000000     
   9.6666666666666643        9.3333333333333321        10.000000000000000        0.0000000000000000     

